"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12364","test","chromium","Thu Oct 02 15:59:59 EAT 2025","passed","Thu Oct 02 16:00:11 EAT 2025","","demo.spec.ts","",""
"","6595","should not login with invalid credentials","webkit","Thu Oct 02 16:00:46 EAT 2025","passed","Thu Oct 02 16:00:52 EAT 2025","Login Functionality","login.spec.ts","",""
"","1594","has title","webkit","Thu Oct 02 16:00:37 EAT 2025","passed","Thu Oct 02 16:00:39 EAT 2025","","example.spec.ts","",""
"","3331","has title","firefox","Thu Oct 02 16:00:13 EAT 2025","passed","Thu Oct 02 16:00:16 EAT 2025","","example.spec.ts","",""
"","4692","get started link","chromium","Thu Oct 02 15:59:59 EAT 2025","passed","Thu Oct 02 16:00:04 EAT 2025","","example.spec.ts","",""
"","1513","get started link","webkit","Thu Oct 02 16:00:39 EAT 2025","passed","Thu Oct 02 16:00:40 EAT 2025","","example.spec.ts","",""
"","7991","should login with valid credentials","firefox","Thu Oct 02 16:00:21 EAT 2025","passed","Thu Oct 02 16:00:29 EAT 2025","Login Functionality","login.spec.ts","",""
"","7433","should login with valid credentials","chromium","Thu Oct 02 16:00:04 EAT 2025","passed","Thu Oct 02 16:00:11 EAT 2025","Login Functionality","login.spec.ts","",""
"","30098","Register a new user","webkit","Thu Oct 02 16:00:31 EAT 2025","broken","Thu Oct 02 16:01:01 EAT 2025","admin test","admin.spec.ts","",""
"","6181","should not login with invalid credentials","firefox","Thu Oct 02 16:00:29 EAT 2025","passed","Thu Oct 02 16:00:35 EAT 2025","Login Functionality","login.spec.ts","",""
"","4309","has title","chromium","Thu Oct 02 15:59:59 EAT 2025","passed","Thu Oct 02 16:00:03 EAT 2025","","example.spec.ts","",""
"","12105","should login with valid credentials","webkit","Thu Oct 02 16:00:41 EAT 2025","passed","Thu Oct 02 16:00:53 EAT 2025","Login Functionality","login.spec.ts","",""
"","5662","should not login with invalid credentials","chromium","Thu Oct 02 16:00:04 EAT 2025","passed","Thu Oct 02 16:00:10 EAT 2025","Login Functionality","login.spec.ts","",""
"","18473","test","webkit","Thu Oct 02 16:00:35 EAT 2025","passed","Thu Oct 02 16:00:53 EAT 2025","","demo.spec.ts","",""
"","30155","Register a new user","firefox","Thu Oct 02 16:00:12 EAT 2025","broken","Thu Oct 02 16:00:42 EAT 2025","admin test","admin.spec.ts","",""
"","2080","get started link","firefox","Thu Oct 02 16:00:18 EAT 2025","passed","Thu Oct 02 16:00:21 EAT 2025","","example.spec.ts","",""
"","30054","Register a new user","chromium","Thu Oct 02 15:59:59 EAT 2025","broken","Thu Oct 02 16:00:29 EAT 2025","admin test","admin.spec.ts","",""
"","18131","test","firefox","Thu Oct 02 16:00:13 EAT 2025","passed","Thu Oct 02 16:00:31 EAT 2025","","demo.spec.ts","",""
