"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","792","get started link","firefox","Thu Oct 02 14:34:28 UTC 2025","passed","Thu Oct 02 14:34:29 UTC 2025","","example.spec.ts","",""
"","1447","get started link","webkit","Thu Oct 02 14:36:15 UTC 2025","passed","Thu Oct 02 14:36:17 UTC 2025","","example.spec.ts","",""
"","3123","should login with valid credentials","firefox","Thu Oct 02 14:34:29 UTC 2025","passed","Thu Oct 02 14:34:32 UTC 2025","Login Functionality","login.spec.ts","",""
"","30041","Register a new user","webkit","Thu Oct 02 14:35:38 UTC 2025","broken","Thu Oct 02 14:36:08 UTC 2025","admin test","admin.spec.ts","",""
"","2684","should login with valid credentials","chromium","Thu Oct 02 14:32:39 UTC 2025","passed","Thu Oct 02 14:32:41 UTC 2025","Login Functionality","login.spec.ts","",""
"","7383","test","firefox","Thu Oct 02 14:34:19 UTC 2025","passed","Thu Oct 02 14:34:27 UTC 2025","","demo.spec.ts","",""
"","649","has title","firefox","Thu Oct 02 14:34:27 UTC 2025","passed","Thu Oct 02 14:34:28 UTC 2025","","example.spec.ts","",""
"","2722","should not login with invalid credentials","webkit","Thu Oct 02 14:36:21 UTC 2025","passed","Thu Oct 02 14:36:24 UTC 2025","Login Functionality","login.spec.ts","",""
"","4296","test","chromium","Thu Oct 02 14:32:34 UTC 2025","passed","Thu Oct 02 14:32:38 UTC 2025","","demo.spec.ts","",""
"","30099","Register a new user","firefox","Thu Oct 02 14:33:48 UTC 2025","broken","Thu Oct 02 14:34:18 UTC 2025","admin test","admin.spec.ts","",""
"","2485","should not login with invalid credentials","firefox","Thu Oct 02 14:34:32 UTC 2025","passed","Thu Oct 02 14:34:34 UTC 2025","Login Functionality","login.spec.ts","",""
"","2020","should not login with invalid credentials","chromium","Thu Oct 02 14:32:41 UTC 2025","passed","Thu Oct 02 14:32:43 UTC 2025","Login Functionality","login.spec.ts","",""
"","369","get started link","chromium","Thu Oct 02 14:32:38 UTC 2025","passed","Thu Oct 02 14:32:39 UTC 2025","","example.spec.ts","",""
"","237","has title","chromium","Thu Oct 02 14:32:38 UTC 2025","passed","Thu Oct 02 14:32:38 UTC 2025","","example.spec.ts","",""
"","6032","test","webkit","Thu Oct 02 14:36:09 UTC 2025","passed","Thu Oct 02 14:36:15 UTC 2025","","demo.spec.ts","",""
"","4331","should login with valid credentials","webkit","Thu Oct 02 14:36:17 UTC 2025","passed","Thu Oct 02 14:36:21 UTC 2025","Login Functionality","login.spec.ts","",""
"","531","has title","webkit","Thu Oct 02 14:36:15 UTC 2025","passed","Thu Oct 02 14:36:15 UTC 2025","","example.spec.ts","",""
"","3230","Register a new user","chromium","Thu Oct 02 14:32:30 UTC 2025","failed","Thu Oct 02 14:32:33 UTC 2025","admin test","admin.spec.ts","",""
